"01bd5b4","jubadz","Mon, 4 May 2020 15:08:08 +0100","payements delete done",	 7 files changed, 47 insertions(+), 2 deletions(-)	
"0aacf73","jubadz","Sun, 3 May 2020 22:13:57 +0100","payments update added !",	 16 files changed, 343 insertions(+), 17 deletions(-)	
"01d1ba1","jubadz","Sun, 3 May 2020 17:24:56 +0100","payement done",	 7 files changed, 54 insertions(+), 22 deletions(-)	
"7a5b250","jubadz","Sat, 2 May 2020 22:07:12 +0100","payment table done",	 26 files changed, 344 insertions(+), 10 deletions(-)	
"fb5a25f","jubadz","Sat, 2 May 2020 17:09:14 +0100","add montant_ht notification 2",	 10 files changed, 83 insertions(+), 20 deletions(-)	
"bde228c","jubadz","Sat, 2 May 2020 13:28:26 +0100","montant verfi done jquery",	 5 files changed, 39 insertions(+), 3 deletions(-)	
"8b31b7e","jubadz","Fri, 1 May 2020 22:51:19 +0100","montant verfi done jquery",	 15 files changed, 92 insertions(+), 42 deletions(-)	
"93dd59a","jubadz","Thu, 30 Apr 2020 18:06:39 +0100","done 2 bug fixed !",	 8 files changed, 47 insertions(+), 10 deletions(-)	
"7501fe7","jubadz","Thu, 30 Apr 2020 17:14:34 +0100","done 2",	 14 files changed, 160 insertions(+), 27 deletions(-)	
"de95135","jubadz","Wed, 29 Apr 2020 22:50:21 +0100","assosiation insertion done waiting for update",	 51 files changed, 830 insertions(+), 339 deletions(-)	
"1f6a852","jubadz","Wed, 22 Apr 2020 17:41:10 +0100","fixed dashboard and width",	 9 files changed, 150 insertions(+), 78 deletions(-)	
"546eeab","jubadz","Tue, 21 Apr 2020 21:33:23 +0100","hide side bar and show fixed",	 2 files changed, 74 insertions(+), 14 deletions(-)	
"be52976","jubadz","Tue, 21 Apr 2020 20:28:24 +0100","hide side bar and show fixed",	 4 files changed, 96 insertions(+), 22 deletions(-)	
"36f235a","jubadz","Mon, 20 Apr 2020 22:32:46 +0100","achat_articl add",	 14 files changed, 151 insertions(+), 48 deletions(-)	
"a15fcc5","jubadz","Sun, 19 Apr 2020 20:07:13 +0100","gestion app added !",	 49 files changed, 1127 insertions(+), 5 deletions(-)	
"6a16871","jubadz","Sun, 19 Apr 2020 14:16:23 +0100","last befor achat apps",	 7 files changed, 113 insertions(+), 9 deletions(-)	
